Instance,n,Algorithm,Solution Size,Time (s),Valid,Status,Optimal,Optimal Found
large_n100_01,100,ILP (CPLEX),,0.007301834997633705,,Problem size exceeded,,False
large_n100_02,100,ILP (CPLEX),,0.005127886000991566,,Problem size exceeded,,False
large_n100_03,100,ILP (CPLEX),,0.005396294000092894,,Problem size exceeded,,False
large_n100_04,100,ILP (CPLEX),,0.006549752000864828,,Problem size exceeded,,False
large_n100_05,100,ILP (CPLEX),,0.0059613959965645336,,Problem size exceeded,,False
large_n100_06,100,ILP (CPLEX),,0.005790163999336073,,Problem size exceeded,,False
large_n100_07,100,ILP (CPLEX),,0.005352560998289846,,Problem size exceeded,,False
large_n100_08,100,ILP (CPLEX),,0.0055061560015019495,,Problem size exceeded,,False
large_n100_09,100,ILP (CPLEX),,0.007079688002704643,,Problem size exceeded,,False
large_n100_10,100,ILP (CPLEX),,0.005033817997173173,,Problem size exceeded,,False
large_n150_01,150,ILP (CPLEX),,0.010480302000360098,,Problem size exceeded,,False
large_n150_02,150,ILP (CPLEX),,0.034207567001431016,,Problem size exceeded,,False
large_n150_03,150,ILP (CPLEX),,0.009435543001018232,,Problem size exceeded,,False
large_n150_04,150,ILP (CPLEX),,0.010064924998005154,,Problem size exceeded,,False
large_n150_05,150,ILP (CPLEX),,0.00951429199994891,,Problem size exceeded,,False
large_n150_06,150,ILP (CPLEX),,0.010055892998934723,,Problem size exceeded,,False
large_n150_07,150,ILP (CPLEX),,0.010139966001588618,,Problem size exceeded,,False
large_n150_08,150,ILP (CPLEX),,0.00999929500176222,,Problem size exceeded,,False
large_n150_09,150,ILP (CPLEX),,0.009679066999524366,,Problem size exceeded,,False
large_n150_10,150,ILP (CPLEX),,0.010207016999629559,,Problem size exceeded,,False
large_n75_01,75,ILP (CPLEX),14.0,0.1465882070006046,True,OK,14.0,True
large_n75_02,75,ILP (CPLEX),12.0,0.11996240799999214,True,OK,12.0,True
large_n75_03,75,ILP (CPLEX),13.0,0.11376306499732891,True,OK,13.0,True
large_n75_04,75,ILP (CPLEX),13.0,0.11755627899765386,True,OK,13.0,True
large_n75_05,75,ILP (CPLEX),13.0,0.12322373999995762,True,OK,13.0,True
large_n75_06,75,ILP (CPLEX),13.0,0.11936320700260694,True,OK,13.0,True
large_n75_07,75,ILP (CPLEX),14.0,0.11150249300044379,True,OK,14.0,True
large_n75_08,75,ILP (CPLEX),14.0,0.1167511480016401,True,OK,14.0,True
large_n75_09,75,ILP (CPLEX),13.0,0.1195476190005138,True,OK,13.0,True
large_n75_10,75,ILP (CPLEX),14.0,0.11479638600212638,True,OK,14.0,True
large_n100_01,100,Greedy,15.0,0.007579539000289515,True,,,False
large_n100_02,100,Greedy,13.0,0.005718266998883337,True,,,False
large_n100_03,100,Greedy,13.0,0.007075080000504386,True,,,False
large_n100_04,100,Greedy,13.0,0.005885932998353383,True,,,False
large_n100_05,100,Greedy,14.0,0.0058639379967644345,True,,,False
large_n100_06,100,Greedy,12.0,0.0063410490001842845,True,,,False
large_n100_07,100,Greedy,13.0,0.005254587998933857,True,,,False
large_n100_08,100,Greedy,13.0,0.0062531560033676215,True,,,False
large_n100_09,100,Greedy,13.0,0.007249676997162169,True,,,False
large_n100_10,100,Greedy,12.0,0.0059047639988421,True,,,False
large_n150_01,150,Greedy,17.0,0.012602878003235674,True,,,False
