Instance,n,Algorithm,Solution Size,Time (s),Valid,Optimal,Optimal Found
medium_n25_01,25,CPLEX,8,0.007849300000088988,True,8,True
medium_n25_02,25,CPLEX,9,0.005937385998549871,True,9,True
medium_n25_03,25,CPLEX,9,0.00592791000053694,True,9,True
medium_n25_04,25,CPLEX,8,0.00992891299938492,True,8,True
medium_n25_05,25,CPLEX,7,0.006632990000071004,True,7,True
medium_n25_06,25,CPLEX,8,0.006991277999986778,True,8,True
medium_n25_07,25,CPLEX,8,0.0071131010008684825,True,8,True
medium_n25_08,25,CPLEX,8,0.00624858900118852,True,8,True
medium_n25_09,25,CPLEX,8,0.009419052999874111,True,8,True
medium_n25_10,25,CPLEX,8,0.005318523000823916,True,8,True
medium_n30_01,30,CPLEX,10,0.005212037000092096,True,10,True
medium_n30_02,30,CPLEX,9,0.008734073999221437,True,9,True
medium_n30_03,30,CPLEX,9,0.0071402559988200665,True,9,True
medium_n30_04,30,CPLEX,9,0.007917573999293381,True,9,True
medium_n30_05,30,CPLEX,10,0.02393178300008003,True,10,True
medium_n30_06,30,CPLEX,8,0.026956615000017337,True,8,True
medium_n30_07,30,CPLEX,10,0.02739348199975211,True,10,True
medium_n30_08,30,CPLEX,9,0.005082910000055563,True,9,True
medium_n30_09,30,CPLEX,9,0.00576259900117293,True,9,True
medium_n30_10,30,CPLEX,9,0.03704976399967563,True,9,True
medium_n40_01,40,CPLEX,10,0.02926368999942497,True,10,True
medium_n40_02,40,CPLEX,10,0.02137303200106544,True,10,True
medium_n40_03,40,CPLEX,10,0.016574135999690043,True,10,True
medium_n40_04,40,CPLEX,10,0.011861256998599856,True,10,True
medium_n40_05,40,CPLEX,12,0.009032699999806937,True,12,True
medium_n40_06,40,CPLEX,10,0.05548318900036975,True,10,True
medium_n40_07,40,CPLEX,10,0.01615789599964046,True,10,True
medium_n40_08,40,CPLEX,11,0.006151257999590598,True,11,True
medium_n40_09,40,CPLEX,10,0.02446321800016449,True,10,True
medium_n40_10,40,CPLEX,10,0.05724437599928933,True,10,True
medium_n50_01,50,CPLEX,12,0.028690859999187523,True,12,True
medium_n50_02,50,CPLEX,12,0.060837095999886515,True,12,True
medium_n50_03,50,CPLEX,11,0.1138974989989947,True,11,True
medium_n50_04,50,CPLEX,11,0.06940883199968084,True,11,True
medium_n50_05,50,CPLEX,11,0.08449241400012397,True,11,True
medium_n50_06,50,CPLEX,11,0.10666989799938165,True,11,True
medium_n50_07,50,CPLEX,12,0.10231114199996227,True,12,True
medium_n50_08,50,CPLEX,12,0.08443361100034963,True,12,True
medium_n50_09,50,CPLEX,11,0.09269024500099476,True,11,True
medium_n50_10,50,CPLEX,12,0.0363714949999121,True,12,True
medium_n25_01,25,Greedy,8,0.0004769159986608429,True,8,True
medium_n25_02,25,Greedy,9,0.0004503399995883228,True,9,True
medium_n25_03,25,Greedy,9,0.0004527810015133582,True,9,True
medium_n25_04,25,Greedy,8,0.00042401900100230705,True,8,True
medium_n25_05,25,Greedy,7,0.0003594209993025288,True,7,True
medium_n25_06,25,Greedy,8,0.000384674998713308,True,8,True
